Ticker,AAPL,AMZN,BA,DIS,GOOGL,GS,INTC,JNJ,JPM,KO,LLY,META,MRK,MSFT,NFLX,NVDA,PEP,PFE,PG,PYPL,TSLA,UNH,V,WMT,XOM
AAPL,0.07340577751259351,0.058511953805162234,0.03917599008009377,0.03583864049867561,0.05521764727657626,0.028159151869319887,0.0501466438989574,0.008199953152576357,0.02375850351058449,0.014956010357412976,0.01873422527125786,0.06635273031613256,0.008366503645053987,0.051165444734539656,0.05934984954080252,0.08306595970860664,0.014967952621445325,0.014020237378500885,0.01367811243092692,0.05371134977895957,0.08297291439094769,0.014347772114805202,0.03273556161157051,0.013522574023618237,0.012514309151326994
AMZN,0.058511953805162234,0.1469352770679606,0.05257465799763399,0.05440927167184865,0.0815546294699341,0.043233462052817646,0.06970905448033256,0.004625586196223719,0.03348998069789322,0.011775172568587336,0.02295940732291579,0.11184164909675307,0.0049365372249311635,0.07286137200103139,0.09519832665720879,0.11793083735922733,0.011422157805902937,0.01444489646359899,0.00885286028551383,0.08579543001093802,0.10553626114953871,0.008378993612371223,0.03778925147783499,0.020562328827625088,0.010434811007110597
BA,0.03917599008009377,0.05257465799763399,0.13652816472649992,0.041949838108001306,0.03953336142145571,0.039023070837490126,0.05612509110436897,0.006483686510995107,0.03342687262804887,0.011492023718239213,0.008260279344412884,0.05140772158123551,0.0038212696891642573,0.03159183831544437,0.05555638517538449,0.07251304111891482,0.00877269466997982,0.014770813318067896,0.008682765436247436,0.05798870462558918,0.07078819622556379,0.012926282090204633,0.026435414106619065,0.010887604563914919,0.01986348962291544
DIS,0.03583864049867561,0.05440927167184865,0.041949838108001306,0.09165512714042627,0.039180272224331014,0.03648694953048553,0.04616085669796318,0.006346398153577498,0.031990882326982606,0.010702998777011342,0.009300382499113016,0.05474663103713402,0.0020438234004681974,0.03621119568285011,0.06968727442954628,0.06619555275771506,0.009602401235164542,0.012619449346735315,0.009762811726522828,0.059029855418768186,0.06443117288932045,0.00984898790235842,0.03020828084583354,0.012935504510421714,0.020221347962624033
GOOGL,0.05521764727657626,0.0815546294699341,0.03953336142145571,0.039180272224331014,0.10721745012697781,0.03293013759171833,0.05453816760044231,0.0053133691332304745,0.02652372248872496,0.010444072497531555,0.017823638607412793,0.09530544746378299,0.00561590436728422,0.062687164036617,0.0672803697879551,0.09930339441289043,0.01061542681114096,0.01222923782639544,0.010071510178700034,0.06318402931552616,0.0809904938361342,0.00984793158336372,0.032699343861840764,0.013774056716310008,0.006830257361464029
GS,0.028159151869319887,0.043233462052817646,0.039023070837490126,0.03648694953048553,0.03293013759171833,0.0703651391088579,0.04456450768425985,0.00986250400607457,0.04964181909357105,0.009857361543851884,0.010327630516740714,0.042662720962061945,0.007520746598161615,0.029262603030587968,0.038533574507434304,0.055739507469075036,0.008680890436359872,0.015732632620750902,0.007280629946745218,0.05332509261014978,0.05381372213440969,0.014367960907729257,0.028348923673887506,0.009310551667470307,0.021992601123413995
INTC,0.0501466438989574,0.06970905448033256,0.05612509110436897,0.04616085669796318,0.05453816760044231,0.04456450768425985,0.1867848077314725,0.006622351859100561,0.03670020633720608,0.009423849531026408,0.016719617129019308,0.07580336144955493,0.0038306933892046906,0.05360598288155683,0.06735667389492658,0.102185112006496,0.010631331464866318,0.019011089562565142,0.013669240465239435,0.05897640222091724,0.08814072986964654,0.009062032583974313,0.02957362142964448,0.012729350388842955,0.016587396834394745
JNJ,0.008199953152576357,0.004625586196223719,0.006483686510995107,0.006346398153577498,0.0053133691332304745,0.00986250400607457,0.006622351859100561,0.026816967920068643,0.01078072121641708,0.012127720724198763,0.011859698567910245,0.004214087065704063,0.014416205526032925,0.006017944117463626,0.0031489675716700172,-0.0053301731637453355,0.01243898352118916,0.018898046230247843,0.0124914630122256,0.006849248516945209,0.00027187145786343117,0.013454192369211929,0.0087758637970411,0.008480208462821819,0.005316908635371988
JPM,0.02375850351058449,0.03348998069789322,0.03342687262804887,0.031990882326982606,0.02652372248872496,0.04964181909357105,0.03670020633720608,0.01078072121641708,0.062456436045404094,0.011311725889318412,0.010313351194192282,0.033119745956486014,0.008215474390992222,0.022846939052604334,0.0325778078799392,0.04522587845066543,0.009160991874288444,0.0151849855702378,0.009338331854315573,0.04414728462591935,0.04643493777189554,0.014689980041855406,0.02735540610595695,0.008937334100547513,0.020349188025999918
KO,0.014956010357412976,0.011775172568587336,0.011492023718239213,0.010702998777011342,0.010444072497531555,0.009857361543851884,0.009423849531026408,0.012127720724198763,0.011311725889318412,0.0243963059130549,0.010215054824999287,0.008320329144156903,0.010390753225054963,0.012406914178778101,0.00882446719401165,0.007600741480007358,0.019807107843419287,0.013264729386495849,0.017882164607957808,0.011512210184956203,0.0077016535355090366,0.0133163664441589,0.013626672643694507,0.012452980649569819,0.007130129416784065
